userid, password,residence_state, high_school_name, high_school_city, high_school_state,GPA, college_class,major_1,major_2, SAT_math, SAT_EBRW, ACT_English, ACT_math, ACT_reading, ACT_science, ACT_composite, SAT_literature, SAT_US_hist, SAT_world_hist, SAT_math_I, SAT_math_II, SAT_eco_bio, SAT_mol_bio, SAT_chemistry, SAT_physics,num_AP_passed
test154,pass154,CO,Brighton High School,Rochester,NY,2.33,2020,Graphic Design,Intermedia/Multimedia,360,690,36,18,11,25,22,490,380,410,470,250,210,710,690,710,8
test155,pass155,IL,Brighton High School,Rochester,NY,3.32,2026,Ecology,Anthropology,620,520,29,34,19,17,25,220,800,720,630,390,240,560,750,510,1
test156,pass156,AL,Brighton High School,Rochester,NY,1.23,2023,Sustainability Studies,Sustainability Studies,250,790,25,6,24,36,23,590,200,660,490,770,580,290,400,770,6
test157,pass157,NM,Brighton High School,Rochester,NY,1.57,2025,Design and Visual Communications,Atmospheric Sciences and Meteorology,490,610,30,14,2,30,19,460,280,720,520,370,560,220,630,750,5
test158,pass158,IL,Brighton High School,Rochester,NY,2.23,2026,Clinical Laboratory Science/Medical Technology/Technologist,Registered Nursing/Registered Nurse,440,700,10,32,27,12,20,440,220,280,610,230,800,380,710,680,8
test159,pass159,WA,Brighton High School,Rochester,NY,3,2028,Psychology,Fine Arts and Art Studies,450,550,29,21,19,30,25,490,220,290,570,460,210,200,540,450,6
test160,pass160,VT,Brighton High School,Rochester,NY,3.45,2026,Bioengineering and Biomedical Engineering,History,760,400,33,26,10,36,26,330,300,770,620,330,710,750,520,390,5
test161,pass161,ND,Brooklyn Technical High School,Brooklyn,NY,1.42,2026,Art/Art Studies,Painting,280,300,21,29,18,31,25,620,250,420,710,610,300,800,720,310,2
test162,pass162,UT,Brooklyn Technical High School,Brooklyn,NY,3.06,2021,Film/Video and Photographic Arts,Pharmacology,540,800,25,16,9,9,15,520,710,460,340,700,530,580,720,250,0
test163,pass163,SC,Brooklyn Technical High School,Brooklyn,NY,1.06,2025,Computer Graphics,Women&apos;s Studies,220,590,36,17,25,28,26,600,770,500,440,590,730,670,510,460,5
test164,pass164,IL,Brooklyn Technical High School,Brooklyn,NY,1.81,2028,Ecology,Art/Art Studies,640,200,28,34,35,35,33,710,200,720,550,760,480,270,780,520,1
test165,pass165,NV,Brooklyn Technical High School,Brooklyn,NY,0.45,2021,Engineering,Art Teacher Education,540,200,8,14,28,14,16,360,260,630,720,550,320,580,720,610,2
test166,pass166,IL,Brooklyn Technical High School,Brooklyn,NY,3.99,2027,Economics,Electrical and Electronics Engineering,710,370,20,32,3,22,19,790,230,730,460,300,430,340,330,270,9
test167,pass167,MD,Brooklyn Technical High School,Brooklyn,NY,0.21,2027,Registered Nursing/Registered Nurse,Asian Studies/Civilization,690,680,22,33,31,3,22,520,580,380,200,780,370,640,390,510,1
test168,pass168,TN,Brooklyn Technical High School,Brooklyn,NY,3.2,2025,Asian Studies/Civilization,English Language and Literature,710,260,28,8,14,3,13,510,360,410,750,210,800,450,740,230,1
test169,pass169,IN,Brooklyn Technical High School,Brooklyn,NY,3.63,2023,Film/Video and Photographic Arts,Computer Graphics,530,450,27,24,29,19,25,380,310,490,310,590,790,370,680,400,3
test170,pass170,OK,Brooklyn Technical High School,Brooklyn,NY,1.27,2027,Chemical and Biomolecular Engineering,Women&apos;s Studies,510,220,10,12,6,24,13,370,530,460,560,490,580,710,710,490,4
test171,pass171,NV,Campolindo High School,Moraga,CA,1.88,2025,Printmaking,Sustainability Studies,790,300,25,18,7,6,14,780,700,720,590,640,460,570,220,730,8
test172,pass172,TN,Campolindo High School,Moraga,CA,0.56,2028,Ceramic Arts and Ceramics,Asian Studies/Civilization,450,420,36,13,11,17,19,220,690,460,720,390,410,230,540,790,8
test173,pass173,WV,Campolindo High School,Moraga,CA,3.13,2023,Women&apos;s Studies,Digital Communication and Media/Multimedia,270,480,30,23,24,19,24,760,800,610,450,470,700,200,630,240,0
test174,pass174,MS,Campolindo High School,Moraga,CA,0.54,2020,Bioengineering and Biomedical Engineering,Photography,370,680,36,18,14,9,19,530,280,470,490,750,710,550,210,800,1
test175,pass175,WI,Campolindo High School,Moraga,CA,1.99,2022,Fine Arts and Art Studies,Drawing,700,720,36,14,22,3,19,300,490,430,530,640,340,570,200,660,4
test176,pass176,OK,Campolindo High School,Moraga,CA,3.24,2023,Astronomy,Social Work,680,780,4,17,23,2,12,380,200,400,200,520,240,650,270,490,4
test177,pass177,MO,Campolindo High School,Moraga,CA,3.84,2028,Environmental Studies,Sustainability Studies,380,800,22,35,29,30,29,480,480,710,760,610,220,440,450,740,0
test178,pass178,RI,Campolindo High School,Moraga,CA,3.91,2028,Photography,American/United States Studies/Civilization,380,750,8,1,31,25,16,720,400,240,750,330,420,560,710,240,10
test179,pass179,AZ,Campolindo High School,Moraga,CA,1.21,2023,Film/Video and Photographic Arts,Political Science and Government,530,280,22,12,22,23,20,290,490,450,600,210,670,490,780,500,0
test180,pass180,MO,Campolindo High School,Moraga,CA,1.67,2020,Women&apos;s Studies,Intermedia/Multimedia,630,660,6,29,12,6,13,720,350,740,690,200,610,330,270,230,8
test181,pass181,KS,Canyon Crest Academy,San Diego,CA,1.46,2028,Chemistry,Business Administration and Management,670,790,11,17,30,17,19,620,720,680,530,730,600,270,270,620,1
test182,pass182,NY,Canyon Crest Academy,San Diego,CA,1.53,2027,Political Science and Government,Chemical and Biomolecular Engineering,200,200,35,23,1,35,24,360,630,290,560,670,310,750,740,520,10
test183,pass183,VA,Canyon Crest Academy,San Diego,CA,3.8,2020,Visual and Performing Arts,European Studies/Civilization,290,610,7,22,28,19,19,590,740,230,440,650,610,390,380,520,8
test184,pass184,NV,Canyon Crest Academy,San Diego,CA,3.37,2022,Comparative Literature,Graphic Design,320,490,21,33,16,1,18,730,530,780,670,460,750,480,680,790,6
test185,pass185,ID,Canyon Crest Academy,San Diego,CA,3.83,2025,Environmental Studies,European Studies/Civilization,540,480,36,36,32,17,30,450,360,480,480,660,560,680,650,410,3
test186,pass186,NM,Canyon Crest Academy,San Diego,CA,2.09,2023,Italian Language and Literature,Painting,390,770,16,33,19,33,25,760,460,460,780,610,720,710,650,500,4
test187,pass187,NE,Canyon Crest Academy,San Diego,CA,2.18,2027,Art/Art Studies,Environmental Studies,720,380,17,32,34,35,30,800,530,420,740,610,740,500,320,320,5
test188,pass188,LA,Canyon Crest Academy,San Diego,CA,3.31,2020,Civil Engineering,Ecology,440,740,3,19,36,20,20,480,460,320,640,710,540,790,250,460,1
test189,pass189,MD,Canyon Crest Academy,San Diego,CA,1.63,2025,Respiratory Care Therapy/Therapist,Philosophy,380,430,24,12,5,6,12,520,590,630,280,770,770,450,490,630,0
test190,pass190,TX,Canyon Crest Academy,San Diego,CA,1.26,2025,Italian Language and Literature,Geology/Earth Science,230,760,12,34,10,9,16,240,780,770,800,200,570,320,670,290,1
test191,pass191,NJ,Carrboro High School,Carrboro,NC,0.89,2026,Comparative Literature,German Language and Literature,660,610,35,20,11,9,19,560,490,500,610,610,750,530,510,210,1
test192,pass192,MD,Carrboro High School,Carrboro,NC,3.98,2026,Multi-/Interdisciplinary Studies,Chemical and Biomolecular Engineering,760,380,17,2,28,2,12,610,720,420,700,690,390,470,760,270,10
test193,pass193,CO,Carrboro High School,Carrboro,NC,0.26,2022,Graphic Design,Design and Visual Communications,440,680,22,21,22,19,21,470,240,690,340,750,210,760,410,330,0
test194,pass194,LA,Carrboro High School,Carrboro,NC,2.53,2026,Ecology,Environmental Studies,760,240,12,33,10,5,15,530,500,650,210,540,560,230,260,410,6
test195,pass195,CA,Carrboro High School,Carrboro,NC,3.72,2022,Drama and Dramatics/Theatre Arts,Psychology,550,400,10,32,27,29,24,770,240,350,370,700,380,500,220,700,6
test196,pass196,WV,Carrboro High School,Carrboro,NC,0.46,2020,Multi-/Interdisciplinary Studies,Painting,280,330,26,2,17,14,15,370,250,610,550,650,600,750,320,730,4
test197,pass197,ME,Carrboro High School,Carrboro,NC,1.76,2027,Computer and Information Sciences,Architecture and Related Services,590,660,5,11,5,32,13,420,690,660,520,220,570,760,690,250,9
test198,pass198,KY,Carrboro High School,Carrboro,NC,1.64,2027,Chemical and Biomolecular Engineering,European Studies/Civilization,710,380,23,6,29,6,16,700,800,340,250,480,330,700,540,210,6
test199,pass199,IL,Carrboro High School,Carrboro,NC,3.05,2021,Chemistry,Environmental Studies,220,640,3,32,4,6,11,780,270,310,800,290,800,690,790,570,10
test200,pass200,OH,Carrboro High School,Carrboro,NC,3.05,2020,Fine Arts and Art Studies,Graphic Design,250,690,6,4,8,31,12,510,640,710,470,730,200,570,590,700,2
test201,pass201,RI,Carroll Senior High School,Southlake,TX,1.05,2020,Music,Sculpture,400,720,16,5,23,18,16,640,760,230,620,400,720,450,540,460,10
test202,pass202,AR,Carroll Senior High School,Southlake,TX,0.75,2028,Computer and Information Sciences,Athletic Training/Trainer,630,520,12,23,8,32,19,360,220,570,260,510,560,240,630,280,8
test203,pass203,MI,Carroll Senior High School,Southlake,TX,0.09,2023,Fine Arts and Art Studies,Cinematography and Film/Video Production,730,310,17,20,32,36,26,510,630,680,220,720,670,690,570,620,9
test204,pass204,KY,Carroll Senior High School,Southlake,TX,3.66,2020,Art/Art Studies,Economics,700,720,16,26,10,1,13,610,730,230,480,730,460,540,420,570,8
test205,pass205,LA,Carroll Senior High School,Southlake,TX,1.18,2024,Drama and Dramatics/Theatre Arts,Political Science and Government,270,340,11,5,28,8,13,380,540,790,370,740,600,730,410,570,6
test206,pass206,CA,Carroll Senior High School,Southlake,TX,2.77,2025,Clinical Laboratory Science/Medical Technology/Technologist,Human Computer Interaction,490,800,24,8,33,12,19,460,570,200,670,540,800,470,490,670,5
test207,pass207,CA,Carroll Senior High School,Southlake,TX,0.66,2027,Italian Language and Literature,Multi-/Interdisciplinary Studies,680,500,8,9,14,3,8,420,310,600,520,510,720,420,510,800,7
test208,pass208,GA,Carroll Senior High School,Southlake,TX,2.55,2027,Electrical and Electronics Engineering,European Studies/Civilization,680,440,3,4,13,36,14,560,690,280,790,560,660,790,280,650,2
test209,pass209,SD,Carroll Senior High School,Southlake,TX,0.03,2020,Intermedia/Multimedia,Ecology,500,420,2,35,5,7,12,550,570,350,760,730,490,480,550,790,10
test210,pass210,AZ,Carroll Senior High School,Southlake,TX,2.04,2028,Philosophy,Religion/Religious Studies,800,550,30,22,16,21,22,540,710,620,490,740,770,530,450,560,2
test211,pass211,KS,Cedar Key High School,Cedar Key,FL,2.04,2027,Environmental Studies,Computer and Information Sciences,380,600,17,30,31,21,25,520,760,300,560,430,650,310,470,750,5
test212,pass212,WV,Cedar Key High School,Cedar Key,FL,2.39,2026,Physical Sciences,Painting,590,420,28,10,18,1,14,460,650,780,730,630,580,250,580,330,2
test213,pass213,FL,Cedar Key High School,Cedar Key,FL,3.65,2023,Health Services/Allied Health/Health Sciences,Graphic Design,600,300,4,17,10,11,10,430,780,490,800,730,330,240,650,560,0
test214,pass214,OK,Cedar Key High School,Cedar Key,FL,1.97,2022,Business Administration and Management,Sculpture,590,520,34,25,35,28,30,360,280,550,700,250,430,590,250,740,8
test215,pass215,MI,Cedar Key High School,Cedar Key,FL,1.71,2021,Photography,Business Administration and Management,220,440,10,25,9,35,20,770,670,230,420,670,220,790,330,340,4
test216,pass216,NM,Cedar Key High School,Cedar Key,FL,0.34,2028,African-American/Black Studies,Health Services/Allied Health/Health Sciences,500,570,7,1,1,29,10,620,800,640,670,530,690,470,360,680,0
test217,pass217,KS,Cedar Key High School,Cedar Key,FL,0.81,2022,Women&apos;s Studies,Social Work,390,290,25,23,2,13,16,280,710,570,720,590,370,280,330,440,9
test218,pass218,GA,Cedar Key High School,Cedar Key,FL,2.12,2026,Electrical and Electronics Engineering,Printmaking,520,770,33,22,22,24,25,350,280,530,780,640,530,350,380,760,2
test219,pass219,CT,Cedar Key High School,Cedar Key,FL,1.03,2027,Comparative Literature,Computer and Information Sciences,430,390,23,8,32,29,23,780,450,600,490,580,460,790,710,230,7
test220,pass220,IA,Cedar Key High School,Cedar Key,FL,1.52,2020,Creative Writing,Engineering,620,310,7,29,23,6,16,300,670,440,750,430,220,750,620,650,5
test221,pass221,CO,Clements High School,Sugar Land,TX,2.87,2020,Environmental Design/Architecture,Drama and Dramatics/Theatre Arts,540,380,36,5,13,22,19,310,520,590,400,330,600,700,360,280,4
test222,pass222,IL,Clements High School,Sugar Land,TX,2.91,2021,Spanish Language and Literature,Drawing,220,430,15,30,20,19,21,210,440,790,620,460,780,690,470,570,5
test223,pass223,OH,Clements High School,Sugar Land,TX,2.96,2020,Drawing,European Studies/Civilization,590,270,13,9,24,6,13,540,360,530,670,650,610,380,220,800,0
test224,pass224,MO,Clements High School,Sugar Land,TX,3.97,2028,English Language and Literature,Information Science/Studies,220,550,28,14,13,20,19,200,320,490,590,260,780,450,610,750,6
test225,pass225,NV,Clements High School,Sugar Land,TX,0.67,2026,Ecology,Anthropology,590,380,20,23,22,34,25,780,340,520,350,440,500,520,490,350,6
test226,pass226,CO,Clements High School,Sugar Land,TX,3.24,2028,Biochemistry,Religion/Religious Studies,660,400,27,10,34,29,25,490,770,580,490,560,620,310,480,390,5
test227,pass227,SD,Clements High School,Sugar Land,TX,1.14,2021,Art Teacher Education,Art/Art Studies,270,530,17,8,35,26,22,670,720,680,800,540,780,630,620,200,4
test228,pass228,MI,Clements High School,Sugar Land,TX,3.25,2022,Atmospheric Sciences and Meteorology,Photography,460,320,2,19,6,31,14,770,280,710,500,420,780,400,460,510,7
test229,pass229,NJ,Clements High School,Sugar Land,TX,1.41,2021,Biology/Biological Sciences,Mechanical Engineering,330,490,13,27,24,18,20,390,410,670,580,380,520,520,350,690,9
test230,pass230,HI,Clements High School,Sugar Land,TX,2.31,2021,Metal and Jewelry Arts,Linguistics,290,480,4,19,22,30,19,340,490,670,250,530,690,340,250,510,4
test231,pass231,SC,Columbia River High School,Vancouver,WA,3.55,2020,Chemistry,Linguistics,540,200,6,14,9,19,12,650,710,550,690,800,480,320,610,650,7
test232,pass232,MS,Columbia River High School,Vancouver,WA,1.95,2027,Environmental Studies,Chemical and Biomolecular Engineering,750,500,21,4,34,27,22,440,360,250,620,800,610,470,360,690,6
test233,pass233,PA,Columbia River High School,Vancouver,WA,3.68,2026,Social Work,Linguistics,660,790,19,32,9,12,18,640,480,210,670,250,790,260,370,380,5
test234,pass234,KS,Columbia River High School,Vancouver,WA,0.42,2026,Biology/Biological Sciences,Biochemistry,750,480,28,26,13,13,20,270,800,210,240,310,420,560,480,300,5
test235,pass235,PA,Columbia River High School,Vancouver,WA,1.14,2023,Environmental Studies,Bioengineering and Biomedical Engineering,200,430,6,36,19,1,16,460,200,500,460,290,630,260,350,770,10
test236,pass236,LA,Columbia River High School,Vancouver,WA,3.79,2022,Applied Mathematics,European Studies/Civilization,350,770,24,25,22,26,24,370,610,610,790,560,260,730,260,560,9
test237,pass237,VA,Columbia River High School,Vancouver,WA,1.48,2025,Astronomy,Film/Cinema/Video Studies,310,360,24,29,20,11,21,780,530,490,450,770,530,650,270,350,1
test238,pass238,TN,Columbia River High School,Vancouver,WA,1.38,2023,Fine Arts and Art Studies,Environmental Design/Architecture,270,770,12,7,1,18,10,550,220,680,570,410,520,320,290,630,4
test239,pass239,GA,Columbia River High School,Vancouver,WA,2.81,2021,Italian Language and Literature,Athletic Training/Trainer,230,660,17,8,27,10,16,790,710,610,250,230,630,490,270,380,4
test240,pass240,TN,Columbia River High School,Vancouver,WA,2.29,2023,Interior Architecture,Ceramic Arts and Ceramics,590,560,5,10,34,11,15,720,370,400,480,280,250,610,290,780,0
test241,pass241,CT,Columbus High School,Columbus,GA,2.46,2020,Sculpture,Film/Video and Photographic Arts,660,480,33,23,12,28,24,230,790,200,440,570,520,380,370,340,2
test242,pass242,UT,Columbus High School,Columbus,GA,3.99,2025,Multi-/Interdisciplinary Studies,Drama and Dramatics/Theatre Arts,680,490,23,2,27,26,20,510,790,460,340,630,540,670,490,310,2
test243,pass243,ME,Columbus High School,Columbus,GA,1.33,2024,Italian Language and Literature,German Language and Literature,750,280,1,25,3,35,16,400,360,350,290,480,710,540,380,240,4
test244,pass244,OH,Columbus High School,Columbus,GA,3.29,2028,Intermedia/Multimedia,Visual and Performing Arts,310,470,1,29,26,4,15,450,700,440,790,490,500,780,540,300,0
test245,pass245,NH,Columbus High School,Columbus,GA,3.2,2020,Chemistry,Social Work,210,650,29,20,7,12,17,720,610,740,690,260,310,680,390,350,7
test246,pass246,ME,Columbus High School,Columbus,GA,1.92,2025,Film/Cinema/Video Studies,Computer and Information Sciences,750,610,1,1,10,34,12,640,450,720,590,210,300,790,560,480,7
test247,pass247,NJ,Columbus High School,Columbus,GA,1.08,2020,Polysomnography,Astronomy,350,210,7,23,29,2,15,740,360,630,470,460,230,630,300,420,5
test248,pass248,VA,Columbus High School,Columbus,GA,2.12,2023,Polysomnography,Psychology,770,490,22,36,13,32,26,600,550,350,210,660,380,220,640,400,2
test249,pass249,NM,Columbus High School,Columbus,GA,2.06,2021,Architecture and Related Services,Multi-/Interdisciplinary Studies,580,270,1,6,33,15,14,720,540,380,450,720,450,660,640,510,10
test250,pass250,CO,Columbus High School,Columbus,GA,1.33,2025,Philosophy,Information Science/Studies,260,730,11,10,16,5,10,440,590,210,240,390,620,360,520,230,8
test251,pass251,GA,Commack High School,Commack,NY,1.49,2026,Design and Applied Arts,Clinical Laboratory Science/Medical Technology/Technologist,310,300,6,20,15,13,14,730,640,520,640,730,580,760,520,520,1
test252,pass252,NM,Commack High School,Commack,NY,2.46,2020,Design and Visual Communications,Sculpture,470,660,33,22,10,23,22,340,220,430,550,740,400,530,520,200,1
test253,pass253,ME,Commack High School,Commack,NY,1.91,2025,Journalism,Sculpture,550,620,7,24,7,12,12,670,690,230,360,250,490,780,680,520,1
test254,pass254,MS,Commack High School,Commack,NY,2.21,2020,Ecology,Digital Communication and Media/Multimedia,670,210,26,33,9,23,23,220,670,610,390,740,580,760,370,450,10
test255,pass255,MN,Commack High School,Commack,NY,3.29,2025,Art/Art Studies,Graphic Design,540,720,18,33,7,36,24,350,670,690,310,610,370,280,800,320,8
test256,pass256,WI,Commack High School,Commack,NY,0.85,2020,Polysomnography,Anthropology,280,320,7,5,20,16,12,650,670,540,340,780,420,300,740,650,2
test257,pass257,AL,Commack High School,Commack,NY,0.91,2023,Intermedia/Multimedia,Comparative Literature,760,670,33,26,5,8,18,590,520,650,740,380,360,410,280,790,10
test258,pass258,SC,Commack High School,Commack,NY,3.25,2022,Intermedia/Multimedia,Environmental Studies,410,440,26,16,26,36,26,200,420,300,670,560,690,760,260,590,1
test259,pass259,KS,Commack High School,Commack,NY,3.46,2021,Political Science and Government,Applied Mathematics,440,260,10,12,10,11,11,440,220,460,390,770,560,760,470,760,9
test260,pass260,OH,Commack High School,Commack,NY,0.74,2028,Spanish Language and Literature,Italian Language and Literature,790,590,34,5,31,11,20,500,630,220,390,730,290,320,370,690,0
test261,pass261,HI,Concord Carlisle High School,Concord,MA,2.75,2028,Art Teacher Education,Multi-/Interdisciplinary Studies,570,590,6,27,34,1,17,780,740,580,780,450,480,410,680,340,8
test262,pass262,UT,Concord Carlisle High School,Concord,MA,2.34,2024,Physical Sciences,Photography,420,360,6,20,14,29,17,610,570,200,740,230,530,560,470,280,3
test263,pass263,HI,Concord Carlisle High School,Concord,MA,0.97,2021,Physics,Linguistics,670,600,28,18,19,6,18,280,760,210,230,590,380,280,380,760,7
test264,pass264,MA,Concord Carlisle High School,Concord,MA,3.27,2022,Philosophy,Bioengineering and Biomedical Engineering,480,610,14,4,26,16,15,380,380,770,350,330,300,740,320,320,6
test265,pass265,CT,Concord Carlisle High School,Concord,MA,2.04,2022,Sculpture,Psychology,340,570,32,14,18,11,19,230,440,450,770,760,260,240,200,680,3
test266,pass266,DE,Concord Carlisle High School,Concord,MA,3.35,2021,Digital Communication and Media/Multimedia,Art/Art Studies,620,750,19,26,4,30,20,380,600,710,710,720,760,200,680,440,6
test267,pass267,NC,Concord Carlisle High School,Concord,MA,1.74,2023,German Language and Literature,Art Teacher Education,380,530,21,25,18,26,22,400,800,770,570,270,400,790,300,420,0
test268,pass268,WV,Concord Carlisle High School,Concord,MA,3.72,2028,Metal and Jewelry Arts,Metal and Jewelry Arts,440,310,19,13,4,16,13,550,770,790,280,730,210,760,540,310,1
test269,pass269,LA,Concord Carlisle High School,Concord,MA,1.53,2027,Environmental Design/Architecture,History,400,800,34,34,1,10,20,470,650,720,330,430,720,640,610,330,1
test270,pass270,TX,Concord Carlisle High School,Concord,MA,3.37,2020,Photography,Pharmacology,440,370,15,1,26,3,11,500,400,270,790,600,440,210,210,420,6
test271,pass271,AK,Coppell High School,Coppell,TX,3.48,2026,Biochemistry,Biological and Physical Sciences,360,790,17,20,13,11,15,680,450,730,600,620,710,340,300,620,0
test272,pass272,NJ,Coppell High School,Coppell,TX,0.43,2028,Chemical and Biomolecular Engineering,German Language and Literature,230,510,4,7,4,3,4,600,720,610,730,510,210,720,610,360,3
test273,pass273,NY,Coppell High School,Coppell,TX,2.08,2028,Metal and Jewelry Arts,Journalism,280,530,28,13,18,15,18,480,300,400,540,430,200,600,350,520,1
test274,pass274,MO,Coppell High School,Coppell,TX,1.84,2023,Mechanical Engineering,Physical Sciences,760,210,15,30,24,16,21,720,250,210,370,420,590,680,770,700,1
test275,pass275,WI,Coppell High School,Coppell,TX,0.75,2028,Registered Nursing/Registered Nurse,Music,240,460,32,8,6,18,16,270,670,200,630,430,540,420,700,710,1
test276,pass276,WI,Coppell High School,Coppell,TX,0.2,2026,Chemical and Biomolecular Engineering,Journalism,320,490,33,3,2,14,13,370,240,690,530,400,230,230,480,590,9
test277,pass277,NH,Coppell High School,Coppell,TX,3.99,2024,Chemical and Biomolecular Engineering,Engineering,570,260,1,17,10,34,16,320,700,690,230,670,540,200,390,780,4
test278,pass278,MT,Coppell High School,Coppell,TX,2.66,2028,Mathematics,Chemical and Biomolecular Engineering,800,450,7,7,5,5,6,720,590,300,220,630,450,430,460,230,10
test279,pass279,MD,Coppell High School,Coppell,TX,3.26,2026,Music,Human Computer Interaction,680,300,21,8,22,3,14,510,560,340,380,530,600,290,710,280,2
test280,pass280,NM,Coppell High School,Coppell,TX,2.36,2025,Social Work,Biology/Biological Sciences,570,710,8,26,12,36,20,750,760,530,750,470,230,250,530,200,0
test281,pass281,VA,Crystal Lake Central High School,Crystal Lake,IL,3.28,2020,Drama and Dramatics/Theatre Arts,Digital Communication and Media/Multimedia,800,400,36,10,19,20,21,380,520,210,310,490,520,790,310,660,5
test282,pass282,AK,Crystal Lake Central High School,Crystal Lake,IL,2.6,2025,Drawing,Computer and Information Sciences,340,740,15,21,3,32,18,370,800,420,200,420,690,210,320,750,7
test283,pass283,GA,Crystal Lake Central High School,Crystal Lake,IL,0.71,2024,Visual and Performing Arts,Design and Applied Arts,740,390,17,1,26,17,15,600,450,640,740,220,780,630,260,550,6
test284,pass284,FL,Crystal Lake Central High School,Crystal Lake,IL,3.09,2020,Ceramic Arts and Ceramics,Mathematics,730,760,34,26,32,35,32,380,380,750,450,670,350,450,780,390,10
test285,pass285,MT,Crystal Lake Central High School,Crystal Lake,IL,1.75,2021,Polysomnography,Architecture and Related Services,320,490,26,13,13,18,18,290,790,710,760,480,680,490,460,520,2
test286,pass286,KY,Crystal Lake Central High School,Crystal Lake,IL,1.68,2028,Music,Fine/Studio Arts,360,620,2,32,15,4,13,670,680,540,530,660,330,360,720,600,3
test287,pass287,KS,Crystal Lake Central High School,Crystal Lake,IL,3.7,2028,Bioengineering and Biomedical Engineering,African-American/Black Studies,570,390,32,9,2,6,12,730,620,460,460,310,640,770,280,590,4
test288,pass288,NJ,Crystal Lake Central High School,Crystal Lake,IL,1.41,2026,Biological and Physical Sciences,Health Services/Allied Health/Health Sciences,730,250,9,1,7,17,8,670,610,740,510,340,750,380,790,640,9
test289,pass289,MS,Crystal Lake Central High School,Crystal Lake,IL,1.51,2025,Respiratory Care Therapy/Therapist,Registered Nursing/Registered Nurse,250,520,27,14,5,32,20,610,480,490,600,210,670,640,250,530,3
test290,pass290,WA,Crystal Lake Central High School,Crystal Lake,IL,3.18,2028,Music,Fine Arts and Art Studies,240,650,4,20,5,5,8,240,240,260,580,750,290,510,290,430,5
test291,pass291,ID,Dougherty Valley High School,San Ramon,CA,2.18,2024,Women&apos;s Studies,Pharmacology,590,340,16,2,27,21,16,720,710,440,570,360,540,480,740,220,5
test292,pass292,AZ,Dougherty Valley High School,San Ramon,CA,1.98,2028,Art/Art Studies,Biological and Physical Sciences,600,280,33,26,15,1,19,550,340,270,790,730,690,550,710,390,9
test293,pass293,WV,Dougherty Valley High School,San Ramon,CA,2.64,2020,Mechanical Engineering,Ecology,800,390,8,1,4,25,10,450,470,690,640,520,680,490,460,660,9
test294,pass294,OK,Dougherty Valley High School,San Ramon,CA,3.45,2025,Marine Biology and Biological Oceanography,Psychology,730,330,3,34,21,33,23,580,210,730,230,780,710,580,450,330,5
test295,pass295,KS,Dougherty Valley High School,San Ramon,CA,3.81,2022,Physics,Registered Nursing/Registered Nurse,650,630,28,3,25,18,18,750,700,400,320,550,590,440,430,220,3
test296,pass296,HI,Dougherty Valley High School,San Ramon,CA,0.23,2026,Drawing,Clinical Laboratory Science/Medical Technology/Technologist,610,330,12,18,19,10,15,660,720,780,790,780,500,580,680,670,1
test297,pass297,KS,Dougherty Valley High School,San Ramon,CA,0.76,2022,Fashion/Apparel Design,Multi-/Interdisciplinary Studies,230,560,19,26,7,13,16,690,610,660,730,230,750,750,490,340,4
test298,pass298,AK,Dougherty Valley High School,San Ramon,CA,2.65,2020,Economics,Asian Studies/Civilization,240,690,13,24,22,22,20,390,540,210,320,730,550,650,460,530,9
test299,pass299,MA,Dougherty Valley High School,San Ramon,CA,1.23,2025,Drawing,Fine Arts and Art Studies,580,270,29,29,26,8,23,320,610,370,570,320,530,220,280,670,0
test300,pass300,IL,Dougherty Valley High School,San Ramon,CA,1.57,2020,American/United States Studies/Civilization,Chemistry,440,280,11,8,30,12,15,720,670,570,240,680,640,490,600,590,6
test301,pass301,GA,Eagan Senior High School,Eagan,MN,2.94,2024,European Studies/Civilization,Physical Sciences,260,480,30,11,32,23,24,510,610,310,560,800,300,400,560,710,6
test302,pass302,WA,Eagan Senior High School,Eagan,MN,3.32,2026,Digital Communication and Media/Multimedia,Sustainability Studies,700,340,9,33,7,22,18,440,680,200,390,690,250,750,300,750,3
test303,pass303,KY,Eagan Senior High School,Eagan,MN,2.97,2025,Sustainability Studies,Graphic Communications,740,410,30,7,5,20,16,440,770,670,520,250,770,700,350,750,10
test304,pass304,UT,Eagan Senior High School,Eagan,MN,3.16,2023,Linguistics,Pharmacology,400,210,33,16,20,20,22,260,440,690,220,300,390,230,500,470,1
test305,pass305,KS,Eagan Senior High School,Eagan,MN,3,2028,Philosophy,Comparative Literature,730,360,33,28,2,33,24,610,420,430,670,410,710,380,610,270,2
test306,pass306,NM,Eagan Senior High School,Eagan,MN,0.62,2024,Bioengineering and Biomedical Engineering,German Language and Literature,480,420,4,13,34,34,21,440,750,490,690,750,790,490,620,340,7
test307,pass307,MN,Eagan Senior High School,Eagan,MN,0.44,2020,Spanish Language and Literature,Multi-/Interdisciplinary Studies,360,350,22,27,28,35,28,310,260,250,220,470,390,370,770,790,10
test308,pass308,VA,Eagan Senior High School,Eagan,MN,0.43,2028,Visual and Performing Arts,Electrical and Electronics Engineering,360,360,31,15,35,16,24,320,410,580,660,340,490,530,580,770,7
test309,pass309,ID,Eagan Senior High School,Eagan,MN,3.06,2023,Electrical and Electronics Engineering,Economics,430,460,2,34,6,27,17,790,320,310,230,320,410,630,260,670,4
